id,title,context,question,answers
6488275-3-2,김보름,"2012년 11월 16일 네덜란드 히렌빈에서 열린 2012-2013 국제빙상경기연맹 스피드스케이팅월드컵 1차 대회 3000m 디비전B에서 김보름은 4분10초81로 1위를 차지했다. 17일 열린 1500m 디비전B에서는 김보름이 1분58초41로 1위를 차지했다. 매스스타트 부문에서는 김보름이 4위를 차지했다. 18일 열린 팀추월에서는 김보름, 노선영, 박도영이 3분03초13으로 5위를 차지했다. 2012년 11월 24일 러시아 콜롬나에서 열린 월드컵 2차 대회 매스스타트에 출전한 김보름은 8분40초77의 기록으로 금메달을 따냈다. 박도영(20-한국체대)은 8분41초26으로 5위, 노선영은 8분41초82로 10위를 차지했다. 1500m 디비전A에서는 김보름이 1분57초05로 전체 선수 20명 중 5위를 기록하며 한국 여자 장거리의 스타 탄생을 예고했다. 1500m 디비전B에서는 노선영이 2분00초74로 5위, 박도영이 2분02초34로 15위를 차지했다. 25일 열린 3000m 디비전A에서도 김보름은 4분06초13의 기록으로 7위에 오르는 등 장거리에서 꾸준히 좋은 모습을 보였다. 박도영은 4분12초31의 기록으로 16명의 출전선수 중 최하위에 머물렀다. 3000m 디비전B에서는 노선영이 4분13초51로 16위를 차지했다. 2012년 12월 1일 카자흐스탄 아스타나에서 열린 월드컵 3차 대회 5000m 디비전A에서 김보름은 7분11초19의 기록으로 전체 12명의 선수 중 5위를 기록, 메달권 진입에 실패했다. 5000m 디비전B에서는 박도영이 7분30초18로 16위, 노선영(23, 한국체대)이 7분35초47로 19위, 임정수가 7분39초23으로 21위를 차지했다. 2일 열린 1500m 디비전A에서는 김보름이 2분00초38의 기록으로 17위를 차지했다. 1500m 디비전B에서는 노선영이 2분02초47로 9위, 박도영이 2분03초10으로 11위를 차지했다. 팀추월 경기에 출전한 김보름, 노선영, 박도영은 3분00초55의 기록으로 은메달을 획득했다. 2013년 2월 9일 독일 인첼에서 열린 월드컵 7차 대회 매스스타트에서 김보름은 8분13초80만에 1위로 결승선을 통과했다. 이 대회에서 김보름은 월드컵 포인트 100점을 추가, 총점 260점으로 네덜란드의 마리스카 휘스먼(240점)을 제치고 여자 매스스타트 월드컵 랭킹 1위로 올라섰다. 함께 레이스를 펼친 박도영(8분16초82)과 노선영(8분17초64)은 각각 10위, 15위에 그쳤다. 1500m 디비전A에도 김보름은 출전했으나 1분58초43의 기록으로 10위에 머물렀다. 10일 열린 3000m 디비전A에서는 김보름이 4분13초04로 13위에 머물렀다. 2013년 3월 1일 독일 에르푸르트에서 열린 월드컵 8차 대회 5000m 디비전A에서 김보름은 7분41초22로 11위를 차지했다. 2일 열린 1500m 디비전A에서는 김보름이 2분02초80으로 18위를 차지했다. 2013년 3월 9일 네덜란드 히렌빈에서 열린 월드컵 파이널 3000m에서 김보름은 4분08초51로 8위를 차지하며 185점 10위로 시즌을 마쳤다. 10일 열린 1500m에서는 김보름이 2분00초58로 16위를 차지하며 133점 13위로 시즌을 마쳤다. 매스스타트에서는 김보름이 3위로 골인했지만 앞서 치른 2차와 7차 월드컵에서 1위를 한 바 있어 총점 365점으로, 330점에 그친 마리스카 후이스만(네덜란드)을 제치고 종합우승의 쾌거를 달성했다.",김보름은누구를 제치고 종합우승을 달성하였는가?,"{'text': ['마리스카 후이스만'], 'answer_start': [1641]}"
6397689-4-0,쿠_훌린,"대장장이 쿨란이 자기 집에서 연회를 열고 콘코바르를 초대했다. 연회에 가기 전에 콘코바르는 운동장에 나가서 소년들이 헐링을 하고 노는 것을 구경했다. 그는 세탄타의 경기 실력을 보고 감명을 받아 함께 연회에 가자고 했다. 세탄타는 아직 경기가 끝나지 않았으니 좀 있다가 왕을 따라가겠다고 약속했다. 그러나 연회장에 도착한 콘코바르는 세탄타를 잊어버렸고, 쿨란은 사나운 수렵견을 풀어서 집에 불청객이 들어오지 못하게 했다. 세탄타가 도착하자 개가 그를 공격했다. 세탄타는 자기방어를 위해 개를 죽였다. 어느 판본에서는 개를 들어서 선돌에 메다꽂아 머리를 깨뜨려 죽였다고도 하고, 다른 판본에서는 슬리하르(헐링 공)를 헐링 스틱으로 쳐서 개의 목구멍 깊숙히 공을 쑤셔박아 죽였다고도 한다. 개를 잃은 쿨란은 충격에 빠졌고, 세탄타는 죽은 개 대신 자신이 쿨란을 지켜주겠다고 맹세했다. 이에 드루이드 카흐바드는 앞으로 세탄타는 ""쿨란의 사냥개""라는 뜻의 ""쿠 훌린""(Cú Chulainn)이라는 이름을 칭하게 될 것이라고 선언했다.",대장장이 쿨란이 연회에서 초대한 사람은 누구인가?,"{'text': ['콘코바르'], 'answer_start': [23]}"
6533702-3-1,아스페른-에슬링_전투,"세 개의 오스트리아 부대는 마을의 반도 점거하지 못했다. 아스페른의 주요 거점 요새는 마세나가 끈질기게 방어하고 있었고, 밤이 되어서야 함락되었다. 그러는 동안 두 마을 사이와 다리의 앞부분에 있던 프랑스의 전군이 전장에 투입되어 오스트리아군의 측면을 공격하였다. 나폴레옹은 부대를 나누어 일부 보병대를 중앙의 전면으로 이동시켰고, 기병만으로 이루어진 부대에게 명령을 내려 긴 열을 이루어 아스페른을 공격하던 오스트리아 포병대에게 공격할 것을 명했다. 프랑스군의 1차 돌격은 오스트리아군에게 격퇴 당했으나, 두 번째 흉갑기병(cuirassires)의 공격은 성공하였다. 프랑스 기병대는 오스트리아군의 포를 탈취하고 여세를 몰아 호엔촐레른 휘하의 보병 방진에 공격을 가하고 리히텐슈타인(Lichtenstein)의 기병 부대의 공격에 저항하였다. 그러나 이들은 이 이상의 행동을 할 수는 없었기에 종국에는 퇴각하여 원래 위치로 돌아갔다.",아스페른 에슬링 전투에서 프랑스군의 1차 돌격은 어느군대에 의해 격퇴당했나?,"{'text': ['오스트리아군'], 'answer_start': [266]}"
6593076-1-1,전두환,"1981년 3월 3일 역시 체육관에서의 간접 선거를 통해 스스로 대한민국의 제12대 대통령에 취임하였고, 그해 5월 국풍 81 축제를 개최하여 광주 민주화 운동 1주기에 대한 관심과 분위기를 다른 곳으로 돌리려 시도했다. 전두환 정권은 이후 1982년 한국프로야구를 창설하고 야간통행금지 조치를 해제하였으며, 학원 두발/복장 자율화 정책을 시도하는 등 국민들의 환심을 사기 위한 유화책을 내세웠다. 컬러 텔레비전 보급, 포르노 영화 장려로 대표되는 3S 정책 또한 이러한 유화책의 일환이었다. 그러나 한편으로는 삼청교육대를 창설하여 유죄 판결을 내린 범법자들의 인권을 유린하였으며, 민주화 운동에 대한 탄압 또한 지속하였다.",국민들의 환심을 사기 위한 대표적인 유화책으로 컬러 텔레비전 보급 및 포르노 영화 장려 등이 포함된 정책의 명칭은?,"{'text': ['3S 정책'], 'answer_start': [251]}"
6560529-2-1,추수감사절,"추수감사절은 영국에서 매사추세츠의 플리머스 식민지로 이주한 필그림 파더스의 첫 수확을 기념하는 행사이고 보편적으로 널리 행해지는 일반적인 행사이다. 필그림들이 플리머스에 도착한 1620년에서 1621년 초의 겨울은 매우 어렵고, 많은 사망자를 냈으며, 주위에 거주하고 있던 인디언 부족 왐파노아그 족의 도움으로 살아남을 수 있었다. 이듬 해인 1621년 가을, 특히 수확량이 많았기 때문에, 필그림 파더스는 왐파노아그 족을 초대하여 함께 음식을 먹은 것이 시작이라고 한다. 그러나 영국인 이주민도, 왐파노아그 부족도 가을 수확을 축하하는 전통을 가지고 있었으며, 그 해의 사건이 특별한 추수감사 축제로 자리매김하지 않았다. 플리머스 식민지에서 처음 경축한 1623년 추수감사절은 식사보다는 오히려 교회에서 예배를 하는 종교적인 의미가 강했다.",1621년 가을 왐파노아그 족을 초대하여 같이 음식을 먹은 이들은?,"{'text': ['필그림 파더스'], 'answer_start': [219]}"
5782587-12-2,30년_전쟁,"이러한 열악한 상황에도 불구하고 반란은 보헤미아인들에게 유리하게 돌아갔다. 귀족들 대부분이 루터파와 칼뱅파였던 오버외스터라이히가 반란에 동참했고, 곧 니더외스터라이히가 반란을 일으켰다. 1619년에는 진트리히 마타야스 트런이 비엔나 성벽을 향해 공격을 가했다. 더욱이 영국 제도에서는 프리드리히 5세의 반란이 유럽의 조엘리라 묘사되는 엘리자베스 스튜어트의 문제로 비춰지게 되었다. 이는 30년 전쟁 전반에 걸쳐 수천 명의 지지자들이 엘리자베스 스튜어트가 전쟁의 원인이라는 흐름을 내놓기도 했다. 호레이스 베레가 이끄는 영국-네덜란드 연합군이 전쟁 초기에 팔츠 선제후 지역으로 이동했고 존 세톤이 이끄는 스코틀랜드-네덜란드 연합군이 보헤미아로 이동했다. 그리고 후에 이들은 혼성 부대인 브르타뉴 여단에 참여하게 된다. 세톤의 여단은 1622년까지 트레본 마을을 사수한 여단으로, 보헤미아에서는 최후의 개신교 동맹이었다.",보헤미아에서 최후까지 저항한 개신교 동맹의 부대는?,"{'text': ['세톤의 여단'], 'answer_start': [401]}"
6548348-0-2,일반사회,"시민교육은 인류가 사회를 형성하면서 시작되었으나, 여러 사회과학 학문을 통합하여 사회과로 등장한 것은 20세기 초반, 미국 사회였다. 당시 미국은 이민자를 미국화하고, 미국 남부에서 북부로 이주한 이주민이 도시에 적응하도록 교육을 실시할 필요성이 대두되었다. 이러한 사회적 요구는 지식 전달 중심의 전통적 교육에 대한 개혁을 요구하는 형태로 나타났고, 이 요구에 부응하여 1892년 전미교육협회에서 10인 위원회를 조직해 직업생활과 시민교육을 포함한 교육과정을 제시하였으나, 여전히 지식 전달 중심의 전통적 교육을 벗어나지 못하였다. 이러한 점을 개선하기 위해 전미교육협회는 7인 위원회를 조직하여 전통적인 역사교육에서 벗어나 과학적인 프로그램을 제시하였으나, 이 또한 시민교육의 이상에 미치지 못하였다. 이에 전미교육협회에서 사회과위원회가 등장하여 1916년에 '중등교육의 사회과' 등의 보고서를 통하여 사회과라는 교과를 창설할 것을 주장하였다.",1916년에 '중등교육의 사회과' 등의 보고서를 통해 사회과를 창설할 것을 주장한 조직은 무엇인가?,"{'text': ['사회과위원회'], 'answer_start': [407]}"
6483773-3-0,네버윈터_나이츠,"충실한 멀티플레이 요소들은 《네버윈터 나이츠》를 기존의 다른 던전 앤 드래곤 게임들 보다 돋보이게 하며, 플레이어가 선택할 수 있는 많은 게임 서버들이 존재한다. 각 서버는 하드웨어 사양과 네트워크 대역폭에 따라서 한 모듈에 최대 72명의 플레이어들이 동시에 접속할 수 있다. 《네버윈터 나이츠》의 게임 모듈은 퍼시스턴트 월드(머드와 유사한 형태)나 컴뱃 아레나(PVP 모듈), 대화방처럼 단순히 사교활동을 위한 모듈 등 다양한 장르와 주제로 운영된다. 플레이어는 게임에 포함된 오리지널 캠패인을 친구들과 함께 플레이 할 수도 있으며, 만약 빌더(네버윈터 나이츠의 사용자 콘텐츠 제작자) 팀을 짜서 개발에 도전한다면, 상용 MMORPG에 버금가는 광활한 지역과 규모를 갖는 가상의 세계를 만들어낼 수도 있다. 바이오웨어는 이러한 퍼시스턴트 월드에 대해서는 저작권 문제로 오직 무료로만 제공되어야만 한다고 하였다.",네버윈터 나이츠는 한 모듈에 최대 몇 명의 사용자들이 동시 접속 가능한가?,"{'text': ['72명'], 'answer_start': [129]}"
6488457-0-0,김유정_(배우),"김유정(1999년 9월 22일 ~ )은 대한민국의 배우이다. 김유정은 2003년 어린이 광고 모델로 연예계에 데뷔해 2004년 영화 《DMZ, 비무장지대》의 단역으로 출연하며 연기자로 입문하였다. 이후 텔레비전 드라마 《일지매》(2008), 《동이》, 《구미호: 여우누이뎐》(2010), 《해를 품은 달》,《메이퀸》(2012) 등의 아역 역할을 연기하며 명품 사극 아역으로 자리매김했다. 2014년 11월부터 2016년 4월까지 음악 방송 《인기가요》를 진행하였고, 2016년 높은 인기를 끌며 방영 된 청춘 사극 드라마 《구르미 그린 달빛》에서 남장 내시 홍라온 역으로 첫 주연, 첫 성인 역에 도전해 애절한 멜로 연기를 보여줘 호평을 받았다. KBS 연기대상에서 최연소로 우수연기상을 수상했다. 또한 2016년 12월 한국갤럽에서 발표한 '올해의 탤런트' 순위에 10대 배우 최초로 이름을 올렸다.",김유정이 어린이 광고 모델로 데뷔한 연도는?,"{'text': ['2003년'], 'answer_start': [39]}"
6512090-41-1,노무현,"노무현은 청와대 온라인 행정업무 처리 표준화 시스템인 'e지원'을 개발하게 하였다. e지원 시스템으로 청와대에서 종이 서류를 없애고 대신, 대통령의 모든 지시가 'e지원' 을 통해 이뤄지고 있다고 설명했다. 또한 e지원으로 인해 행정관이나 비서관의 업무 기안이 온라인에서 이뤄지고 대통령을 비롯해 간부들은 실시간으로 추진 중인 업무에 대해 댓글로 지시, 보완하고 결재까지 해서 간소화되었다. 노무현은 임기 후 e지원의 복사본을 제작해 봉하 마을에 설치하였는데, 국가정보 보안과 관련하여 문제가 제기되었고, 복사본을 제작하여 사유하는 것에 대하여 법적 근거가 없다는 법제처의 해석이 나오기도 했다. 차후 국가기록원에 반납 처리되었다.",노무현이 가지고 있던 e지원의 복사본이 반납 처리된 부서는?,"{'text': ['국가기록원'], 'answer_start': [337]}"
